House: Gryffindor | action: give | 1 points | Given by: mczolly | Reason:  | Sun Jan 27 09:30:17 2019 
House: Slytherin | action: give | 0 points | Given by: mczolly | Reason:  | Wed Feb 13 18:53:47 2019 
House: Slytherin | action: give | -100 points | Given by: mczolly | Reason:  | Wed Feb 13 18:54:10 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: marczeslaw got hp5 any pb: 2:09:21 | Thu Feb 14 14:14:15 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: fragus running on a marathon | Sat Feb 16 18:01:07 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Marc got hp6 any pb 2:35:08 | Sun Feb 17 19:27:18 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: raman got new wr in secret files tunguska: 1:01:49 | Mon Feb 18 12:50:03 2019 
House: Slytherin | action: add | 50 points | Given by: mczolly | Reason: Miesya has created a coat of arms for the discord community. | Tue Feb 19 22:16:03 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got HP1 Any% PB: 1:16:37 | Tue Feb 19 22:43:05 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: marc got an hp6 pb: 2:33:01 | Wed Feb 20 13:08:17 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Pity points | Wed Feb 20 15:48:29 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Pity points | Wed Feb 20 15:48:37 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Pity points | Wed Feb 20 15:48:48 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Pity points | Wed Feb 20 15:48:59 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got 1:55:34 in HP7.2 | Wed Feb 20 21:30:32 2019 
House: Gryffindor | action: remove | 5 points | Given by: mczolly | Reason: double points by accident | Wed Feb 20 21:30:57 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got 1:55:34 in HP7.2 | Wed Feb 20 21:31:25 2019 
House: Slytherin | action: give | 0 points | Given by: mczolly | Reason:  | Wed Feb 20 21:55:46 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Liam got a pb in hp6 any% 2:16:45 | Sun Feb 24 09:49:41 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Liam got another HP5 PB: 2:14:22 | Sun Feb 24 19:37:35 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: for nixxo's marathon run | Sun Feb 24 23:36:19 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: for coffee's marathon run | Sun Feb 24 23:36:27 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: raman got emoland I mean evoland pb: 37:48 | Mon Feb 25 14:57:40 2019 
House: Gryffindor | action: remove | 5 points | Given by: mczolly | Reason:  | Mon Feb 25 15:07:13 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: raman got emoland I mean evoland pb: 37:48 | Mon Feb 25 15:07:42 2019 
House: Gryffindor | action: add | -10 points | Given by: mczolly | Reason:  | Mon Feb 25 16:10:49 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: marek got an HP5 Any% PB: 2:08:43 | Mon Feb 25 17:16:54 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Zolly got a sub1 in HP2 Glitchless btw 58:39 | Mon Feb 25 19:27:58 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: <@401817312820330498> got good notes for his thesis | Tue Feb 26 10:54:45 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Esther passing her driving theory exam | Tue Feb 26 11:04:13 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: coffee got hp5 any% 2:23:20 | Tue Feb 26 20:31:48 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: HotCoffee got hp5 any% 2:19:22 | Tue Feb 26 22:55:07 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Coffee got 2:17:17 in hp5 any% | Wed Feb 27 07:21:36 2019 
House: Gryffindor | action: add | 11 points | Given by: mczolly | Reason: Nixxo got WR in HP7.2 Any%: 1:37:57 1 extra point for beating Cat's time! | Wed Feb 27 21:03:23 2019 
House: Gryffindor | action: add | 11 points | Given by: mczolly | Reason: nixxo beating another cat rekky | Thu Feb 28 06:24:36 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: fragus having an hp5 any pb | Thu Feb 28 06:25:18 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: maxiim and cat hp4 Coop pb | Sun Mar  3 14:20:05 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: maxiim and cat hp4 Coop pb | Sun Mar  3 14:20:15 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: 3:50 in QWC house cup for zolly | Mon Mar  4 23:35:50 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got OTH Coop Any% PB with zolly | Mon Mar  4 23:38:53 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Zolly got OTH Coop Any% PB with Nixxo | Mon Mar  4 23:39:03 2019 
House: Gryffindor | action: add | 20 points | Given by: mczolly | Reason: HP4 3-coop rekky (points for Cat and Nixxo) | Tue Mar  5 15:15:41 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: HP4 3-coop rekky (points for Maxiiim) | Tue Mar  5 15:16:03 2019 
House: Gryffindor | action: remove | 10 points | Given by: mczolly | Reason: false points | Tue Mar  5 15:16:15 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: HP4 3-coop rekky (points for Maxiiim) | Tue Mar  5 15:16:25 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: marek got his first bionicle heroes PB | Tue Mar  5 18:43:15 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Nixxo getting Over The Hedge Coop any% WR (with zolly) | Wed Mar  6 22:05:46 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: Zolly getting Over The Hedge Coop any% WR (with nixxo) | Wed Mar  6 22:05:55 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: zolly got 3:32 in QWC House Cup% | Thu Mar  7 15:14:58 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: nixxo got hp3 any% wr for 7 minutes | Fri Mar  8 11:17:12 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: AJ getting a new hp3 any pb | Sun Mar 10 08:54:26 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Cat HP3 Any% PB | Sun Mar 10 22:45:15 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo Hp3 Any% PB | Sun Mar 10 22:45:21 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: I've got WR in my own category in QWC <:PogChamp:272216582330122242> | Sun Mar 10 22:45:51 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Coffee got 2:17:10 in hp5 any | Mon Mar 11 07:50:13 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: marek got a 15 min timesave on bionicle | Mon Mar 11 08:27:57 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: Zolly got HP3 Any% PB and QWC Tutorial% PB | Fri Mar 15 15:00:41 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: nixxo getting wr in hp6 100% | Sat Mar 16 08:10:57 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: cat has beaten nixxo's hp6 hundo wr | Sat Mar 16 17:08:23 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting any% PB in HP3 | Sun Mar 17 23:05:11 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Both AJ and Nixxo got a PB (HP3 Any and HP2 Hundo) | Tue Mar 19 00:17:15 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Nixxo also got a new HP7P2 Any% WR | Tue Mar 19 00:20:58 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: Zolly getting QWC Hundo Rekky | Thu Mar 21 12:20:45 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Zolly getting WC PB in QWC (34:48) | Thu Mar 21 13:36:54 2019 
House: Ravenclaw | action: add | 50 points | Given by: mczolly | Reason: Morpha getting the QWC bounty! GG on his nice first run! | Thu Mar 21 22:49:12 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: Morpha doing two more QWC PBs | Fri Mar 22 14:43:43 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Coffee getting an hp7.1 PB 1:55:12 | Fri Mar 22 14:44:05 2019 
House: Hufflepuff | action: remove | 15 points | Given by: mczolly | Reason: wrong house | Fri Mar 22 14:44:32 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Morpha doing two more QWC PBs | Fri Mar 22 14:44:42 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Coffee getting an hp7.1 PB 1:55:12 | Fri Mar 22 14:44:55 2019 
House: Ravenclaw | action: add | 50 points | Given by: mczolly | Reason: Fragus taking the QWC bounty. <:PogChamp:501433682654134272> | Sat Mar 23 07:54:07 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Fragus getting a Tutorial% PB as well. | Sat Mar 23 07:54:25 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Fragus got a glitchless hp2 hundo pb, 2:20:37 | Sat Mar 23 14:10:30 2019 
House: Gryffindor | action: add | 20 points | Given by: mczolly | Reason: AJ Getting a WR and 2 PBs in QWC | Tue Mar 26 23:35:38 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: Zolly getting a WR in QWC Tutorial% | Tue Mar 26 23:35:50 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: coffee defining hp7.1 hundo and getting a wr in it | Wed Mar 27 14:35:10 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting 2:17:41 in hp5 any | Wed Mar 27 18:13:07 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: nixxo trifecta pb | Thu Mar 28 09:56:48 2019 
House: Gryffindor | action: add | 50 points | Given by: mczolly | Reason: affinity cat claiming the QWC boutny | Thu Mar 28 19:50:54 2019 
House: Slytherin | action: add | 50 points | Given by: mczolly | Reason: Cookie claiming the QWC bounty (automatically) | Thu Mar 28 19:51:08 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: Zolly getting hp3 any% PB | Thu Mar 28 19:51:23 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: cookie getting an hp2 any% PB | Sat Mar 30 01:22:28 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie getting an HP3 PB | Sat Mar 30 06:36:38 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie getting hp6 any% pb | Sat Mar 30 19:47:04 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: morpha getting two PBs in DmC | Sun Mar 31 09:43:41 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: AJ getting qwc tutorial pb | Sun Mar 31 12:43:58 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Coffee getting hp7p1 PBs | Sun Mar 31 21:24:45 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: extra points, since the hundo 7p1 run was a WR | Sun Mar 31 21:25:44 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: morpha got an hp7p2 ng+ wr | Mon Apr  1 05:48:03 2019 
House: Gryffindor | action: add | 50 points | Given by: mczolly | Reason: nixxo claiming the qwc bounty | Mon Apr  1 07:08:14 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie getting hp3 any pb | Mon Apr  1 12:02:58 2019 
House: Hufflepuff | action: give | 200 points | Given by: Fragus | Reason:  | Mon Apr  1 19:48:36 2019 
House: Hufflepuff | action: give | 69 points | Given by: Fragus | Reason:  | Mon Apr  1 19:50:56 2019 
House: Hufflepuff | action: set | 181 points | Given by: mczolly | Reason:  | Mon Apr  1 20:56:54 2019 
House: Hufflepuff | action: add | 15 points | Given by: mczolly | Reason: Fragus winning the secret competition | Mon Apr  1 20:58:01 2019 
House: Ravenclaw | action: add | 50 points | Given by: mczolly | Reason: coffee claiming the quidditch bounty | Tue Apr  2 09:58:40 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: morpha getting 7p2 ng+ wr | Tue Apr  2 09:59:26 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Cookie somehow getting another fucking WR | Wed Apr  3 17:55:53 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nickie getting 1:05:06 in HP3 Any% | Wed Apr  3 17:56:36 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting hp4 any% PB | Wed Apr  3 21:53:32 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nickie *almost* getting a sub1 | Sat Apr  6 17:42:15 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: AJ getting a new hp3 any pb | Sun Apr  7 09:29:59 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting some sort of hp5 PB, at least that's what he said, he's too lazy to post proof | Sun Apr  7 11:58:31 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie got an HP3 any% pb | Sun Apr  7 14:25:01 2019 
House: Gryffindor | action: add | 20 points | Given by: mczolly | Reason: HP4 3-Coop WR (points for Nixxo and Cat) | Sun Apr  7 15:06:12 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: HP4 3-Coop WR (points for Maxiiim) | Sun Apr  7 15:06:29 2019 
House: Gryffindor | action: remove | 10 points | Given by: mczolly | Reason:  | Sun Apr  7 15:06:36 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: HP4 3-Coop WR (points for Maxiiim) | Sun Apr  7 15:06:57 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: nixxo getting hp5 wr... Marek will probably soon take it back... The first big hp5 war is on! | Mon Apr  8 19:16:02 2019 
House: Ravenclaw | action: add | 20 points | Given by: mczolly | Reason: Liam getting two new wrs: hp2 cutscene% and trifecta hundo | Tue Apr  9 12:36:30 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nickie getting hp6 pb | Thu Apr 11 14:57:55 2019 
House: Ravenclaw | action: add | 15 points | Given by: mczolly | Reason: pb and then new wr in hp5 by marek | Sat Apr 13 14:05:40 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nicke got a sub1 in hp3 any% | Sat Apr 13 14:05:54 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie got a new sub1 hp3 any pb | Mon Apr 15 14:02:52 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Nixxo getting HP7.1 100% WR | Mon Apr 15 21:23:02 2019 
House: Ravenclaw | action: remove | 1 points | Given by: mczolly | Reason: Maxiiim shittalking again | Tue Apr 16 14:28:42 2019 
House: Hufflepuff | action: add | 10 points | Given by: mczolly | Reason: I got a WR in OTH GBA | Tue Apr 16 19:18:48 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: HP7.2 Any% PB by myself | Wed Apr 17 20:21:46 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo getting HP2 Glitchless PB | Wed Apr 17 20:22:04 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: two PBs in Life is Strange by Morpha | Thu Apr 18 07:07:18 2019 
House: Slytherin | action: add | 50 points | Given by: mczolly | Reason: Nickie claiming QWC bounty. GG! | Thu Apr 18 07:07:46 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Nicorimas winning a marbles race | Thu Apr 18 16:10:42 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Zero winning the marbles championship | Thu Apr 18 16:59:56 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Nixxo got two PBs: Trifecta and HP2 Any% | Thu Apr 18 20:11:25 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: Nixxo getting HP2 AWC and Hp6 Any% PB | Fri Apr 19 12:27:24 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: I got a new HP7.2 any% PB | Fri Apr 19 12:27:36 2019 
House: Gryffindor | action: remove | 5 points | Given by: mczolly | Reason: I am not a gryffindor scrub | Fri Apr 19 12:33:00 2019 
House: Hufflepuff | action: add | 5 points | Given by: mczolly | Reason: I got a new HP7.2 any% PB | Fri Apr 19 12:33:08 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Liam got a new HP5 Hundo rekky | Fri Apr 19 16:41:12 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Nickie winning the first round of Cards against! | Fri Apr 19 18:11:09 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: AJ winning the second round of cards against | Fri Apr 19 18:48:41 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Nickie winning in cards against | Fri Apr 19 19:45:50 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Nickie winning again in cards against, the cheater! | Fri Apr 19 20:24:23 2019 
House: Gryffindor | action: add | 15 points | Given by: mczolly | Reason: AJ grinding hp2 glitchless, fuck now I have to play that again | Sun Apr 21 08:07:14 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Liam got two HP6 related PBs | Sun Apr 21 09:08:46 2019 
House: Gryffindor | action: add | 10 points | Given by: mczolly | Reason: cat got a new hp6 any% wr | Mon Apr 22 13:20:51 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Morpha getting two RE2 pbs | Mon Apr 22 17:04:38 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Coffee got new WR in hp7.1 hundo | Mon Apr 22 20:39:26 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Re2 whatever% pbs by morpba | Tue Apr 23 05:56:38 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: morpha got pbs in some weirdly named Re2 categories | Thu Apr 25 05:39:16 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: nickie got hp6 pb | Thu Apr 25 05:39:59 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nickie got an hp2 glitchless PB | Fri Apr 26 14:21:53 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Morpha got two RE2 PBs | Fri Apr 26 14:22:31 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Coffee got an hp5 any% pb on a marathon | Fri Apr 26 14:22:50 2019 
House: Gryffindor | action: add | 15 points | Given by: mczolly | Reason: Nixxo got WR in Octofecta and PB in Hp6 Any% | Sun Apr 28 16:18:26 2019 
House: Ravenclaw | action: add | 20 points | Given by: mczolly | Reason: Morpha got WR in something and also 2 RE2 PBs | Sun Apr 28 16:19:21 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: AJ got Hp2 glitchless PB | Sun Apr 28 16:19:35 2019 
House: Gryffindor | action: add | 15 points | Given by: mczolly | Reason: Nixxo did some minesweeper trolling | Sun Apr 28 17:31:57 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Marek did some other game trolling | Sun Apr 28 17:32:05 2019 
House: Gryffindor | action: add | 15 points | Given by: mczolly | Reason: Nixxo won 1,5 CaH games, dang it! | Mon Apr 29 23:17:27 2019 
House: Slytherin | action: add | 10 points | Given by: mczolly | Reason: Nickie won a CaH game. | Mon Apr 29 23:17:47 2019 
House: Slytherin | action: add | 5 points | Given by: mczolly | Reason: Nickie getting hp2 glitchless PB | Tue Apr 30 21:39:49 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: AJ getting HP6 Any% PB | Wed May  1 14:16:19 2019 
House: Ravenclaw | action: add | 5 points | Given by: mczolly | Reason: Marek got an HP1 Any% PB, instead of running QWC, meh | Wed May  1 14:16:37 2019 
House: Gryffindor | action: add | 5 points | Given by: mczolly | Reason: Nixxo got an hp5 100% PB. | Thu May  2 12:39:07 2019 
House: Ravenclaw | action: add | 10 points | Given by: mczolly | Reason: Coffee got HP7.2 Any% NG+ (1:22:52) and HP7.2 Any% (1:49:11) | Thu May  2 13:14:03 2019 
